suite,instance,path,method,primal_dual_integral,n_primal_dual_integral,gap,n_gap,solving_time,n_solving_time
cie_core_nominal,cie_core_n008_f000_m008_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n008_f000_m008_proc100.lp,proposed[full],92.69058649662122,1,0.0,1,0.5169591000012588,1
cie_core_nominal,cie_core_n008_f000_m008_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n008_f000_m008_proc100.lp,proposed[linear_off],92.84286594460859,1,0.0,1,1.4001633000007132,1
cie_core_nominal,cie_core_n008_f000_m008_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n008_f000_m008_proc100.lp,proposed[stage2_off],92.84286594460859,1,0.0,1,0.6744490999990376,1
cie_core_nominal,cie_core_n008_f002_m006_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n008_f002_m006_proc100.lp,proposed[full],0.0,1,0.0,1,0.5991580999980215,1
cie_core_nominal,cie_core_n008_f002_m006_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n008_f002_m006_proc100.lp,proposed[linear_off],98.53521416315128,1,0.0,1,1.235174100002041,1
cie_core_nominal,cie_core_n008_f002_m006_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n008_f002_m006_proc100.lp,proposed[stage2_off],91.49138584372315,1,0.0,1,0.8087872000032803,1
cie_core_nominal,cie_core_n008_f004_m004_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n008_f004_m004_proc100.lp,proposed[full],100.0,1,0.0,1,0.39518640000460437,1
cie_core_nominal,cie_core_n008_f004_m004_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n008_f004_m004_proc100.lp,proposed[linear_off],92.30988787665359,1,0.0,1,1.537992799996573,1
cie_core_nominal,cie_core_n008_f004_m004_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n008_f004_m004_proc100.lp,proposed[stage2_off],0.0,1,0.0,1,0.4997962000052212,1
cie_core_nominal,cie_core_n008_f006_m002_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n008_f006_m002_proc100.lp,proposed[full],2.6378896882494005,1,0.0,1,0.6501873000015621,1
cie_core_nominal,cie_core_n008_f006_m002_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n008_f006_m002_proc100.lp,proposed[linear_off],92.30988787665359,1,0.0,1,0.9521275000006426,1
cie_core_nominal,cie_core_n008_f006_m002_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n008_f006_m002_proc100.lp,proposed[stage2_off],0.0,1,0.0,1,0.833784000002197,1
cie_core_nominal,cie_core_n016_f000_m016_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n016_f000_m016_proc100.lp,proposed[full],2088.8878928634836,1,0.0,1,60.947418600000674,1
cie_core_nominal,cie_core_n016_f000_m016_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n016_f000_m016_proc100.lp,proposed[linear_off],3389.378468502909,1,0.0,1,37.956492399993294,1
cie_core_nominal,cie_core_n016_f000_m016_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n016_f000_m016_proc100.lp,proposed[stage2_off],2666.549932605715,1,0.0,1,74.15718210000341,1
cie_core_nominal,cie_core_n016_f004_m012_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n016_f004_m012_proc100.lp,proposed[full],2254.875091653119,1,0.0,1,61.251736999998684,1
cie_core_nominal,cie_core_n016_f004_m012_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n016_f004_m012_proc100.lp,proposed[linear_off],4984.410331512337,1,0.0,1,56.294253600004595,1
cie_core_nominal,cie_core_n016_f004_m012_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n016_f004_m012_proc100.lp,proposed[stage2_off],2283.080219858247,1,0.0,1,62.656164699998044,1
cie_core_nominal,cie_core_n016_f008_m008_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n016_f008_m008_proc100.lp,proposed[full],1701.5416111688287,1,0.0,1,22.178968400003214,1
cie_core_nominal,cie_core_n016_f008_m008_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n016_f008_m008_proc100.lp,proposed[linear_off],2693.618609399902,1,0.0,1,30.87580579999485,1
cie_core_nominal,cie_core_n016_f008_m008_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n016_f008_m008_proc100.lp,proposed[stage2_off],1717.9213724355263,1,0.0,1,22.42381269999896,1
cie_core_nominal,cie_core_n016_f012_m004_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n016_f012_m004_proc100.lp,proposed[full],1001.3847416170061,1,0.0,1,11.354135000001406,1
cie_core_nominal,cie_core_n016_f012_m004_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n016_f012_m004_proc100.lp,proposed[linear_off],2586.733206904419,1,0.0,1,28.96908259999327,1
cie_core_nominal,cie_core_n016_f012_m004_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n016_f012_m004_proc100.lp,proposed[stage2_off],906.1379482957109,1,0.0,1,11.456312200003595,1
cie_core_nominal,cie_core_n024_f000_m024_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n024_f000_m024_proc100.lp,proposed[full],36006.393749453026,1,0.0,1,463.50907949999964,1
cie_core_nominal,cie_core_n024_f000_m024_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n024_f000_m024_proc100.lp,proposed[linear_off],42700.59832656477,1,3.7457086491869918,1,540.9475321000064,1
cie_core_nominal,cie_core_n024_f000_m024_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n024_f000_m024_proc100.lp,proposed[stage2_off],45945.81262106342,1,0.0,1,587.9495547999977,1
cie_core_nominal,cie_core_n024_f006_m018_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n024_f006_m018_proc100.lp,proposed[full],23467.645596450722,1,0.0,1,296.94932990000234,1
cie_core_nominal,cie_core_n024_f006_m018_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n024_f006_m018_proc100.lp,proposed[linear_off],42507.654580675095,1,3.660903789228716,1,541.0441224000024,1
cie_core_nominal,cie_core_n024_f006_m018_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n024_f006_m018_proc100.lp,proposed[stage2_off],23546.22857100897,1,0.0,1,298.85344410000107,1
cie_core_nominal,cie_core_n024_f012_m012_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n024_f012_m012_proc100.lp,proposed[full],42679.979847551,1,3.7407569650586114,1,540.0393179999883,1
cie_core_nominal,cie_core_n024_f012_m012_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n024_f012_m012_proc100.lp,proposed[linear_off],42727.892358286146,1,3.7622277846467393,1,540.6775441999998,1
cie_core_nominal,cie_core_n024_f012_m012_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n024_f012_m012_proc100.lp,proposed[stage2_off],47458.096701111615,1,3.7407569650586114,1,600.0101749000023,1
cie_core_nominal,cie_core_n024_f018_m006_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n024_f018_m006_proc100.lp,proposed[full],42625.41017970697,1,3.702593447450805,1,539.8594057999944,1
cie_core_nominal,cie_core_n024_f018_m006_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n024_f018_m006_proc100.lp,proposed[linear_off],42667.369289941875,1,3.715246165246637,1,541.1169956999947,1
cie_core_nominal,cie_core_n024_f018_m006_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n024_f018_m006_proc100.lp,proposed[stage2_off],47419.09527067795,1,3.711021034274194,1,599.7163136000017,1
cie_core_nominal,cie_core_n032_f000_m032_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n032_f000_m032_proc100.lp,proposed[full],41330.25075394756,1,3.185907224721338,1,539.765140500007,1
cie_core_nominal,cie_core_n032_f000_m032_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n032_f000_m032_proc100.lp,proposed[linear_off],41015.2678827127,1,3.075580987790698,1,539.5915899999964,1
cie_core_nominal,cie_core_n032_f000_m032_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n032_f000_m032_proc100.lp,proposed[stage2_off],46021.64387082819,1,3.185907224721338,1,599.7188316000029,1
cie_core_nominal,cie_core_n032_f008_m024_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n032_f008_m024_proc100.lp,proposed[full],41292.999204811094,1,3.139763365551181,1,539.795543799999,1
cie_core_nominal,cie_core_n032_f008_m024_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n032_f008_m024_proc100.lp,proposed[linear_off],41345.69282238035,1,3.185907224721338,1,539.8326725999941,1
cie_core_nominal,cie_core_n032_f008_m024_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n032_f008_m024_proc100.lp,proposed[stage2_off],45969.09988079016,1,3.139763365551181,1,599.7203105000008,1
cie_core_nominal,cie_core_n032_f016_m016_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n032_f016_m016_proc100.lp,proposed[full],41628.770546518586,1,3.2313879068410465,1,539.9024347999948,1
cie_core_nominal,cie_core_n032_f016_m016_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n032_f016_m016_proc100.lp,proposed[linear_off],41755.96611624794,1,3.2382099752116082,1,543.8774245000095,1
cie_core_nominal,cie_core_n032_f016_m016_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n032_f016_m016_proc100.lp,proposed[stage2_off],46154.02048188448,1,3.2313879068410465,1,599.7929609999992,1
cie_core_nominal,cie_core_n032_f024_m008_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n032_f024_m008_proc100.lp,proposed[full],42225.15336364705,1,3.323601541324013,1,539.7388133999993,1
cie_core_nominal,cie_core_n032_f024_m008_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n032_f024_m008_proc100.lp,proposed[linear_off],42464.44012081396,1,3.478278938884157,1,541.7124763999964,1
cie_core_nominal,cie_core_n032_f024_m008_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n032_f024_m008_proc100.lp,proposed[stage2_off],46606.798470475376,1,3.320048869556286,1,599.6833538999999,1
